guid,headerGuid,itemGuid,locationGuid,purchaseOrderNumber,inventoryGuid,status,createdDate,tranDate,plannedDate,actualReceiptDate,linePosition,qtyOrdered,qtyOpen,qtyReceived,amount,itemRate,isDropShip,isIntercompany,SubsidiaryID
9.925422.5,9.925422,9.8895,9.1,PO-E-2021-0352,9.1.9.8895,Fully Billed,2021-10-25,2022-01-03,2022-01-03,2022-01-03,5,18.00,0.00,18.00,10263.7494,1710.6092000,NULL,0,J
9.1131033.3,9.1131033,9.8927,9.1,PO-E-2021-0425,9.1.9.8927,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-17,3,90.00,0.00,90.00,5700.9840,190.0328000,NULL,0,J
9.925422.1,9.925422,9.8469,9.1,PO-E-2021-0352,9.1.9.8469,Fully Billed,2021-10-25,2022-01-03,2021-11-24,2021-11-30,1,144.00,0.00,144.00,49341.4262,1027.9418000,NULL,0,J
9.1131033.1,9.1131033,9.9356,9.1,PO-E-2021-0425,9.1.9.9356,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-17,1,90.00,0.00,90.00,41956.6800,1398.5560000,NULL,0,J
9.1131033.7,9.1131033,9.9382,9.1,PO-E-2021-0425,9.1.9.9382,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-17,7,30.00,0.00,30.00,14931.0140,1493.1014000,NULL,0,J
9.1131033.8,9.1131033,9.8944,9.1,PO-E-2021-0425,9.1.9.8944,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-10,8,30.00,0.00,30.00,3608.4880,360.8488000,NULL,0,J
9.1148371.2,9.1148371,9.7555,9.1,PO-E-2021-0428,9.1.9.7555,Fully Billed,2021-12-15,2022-01-07,2022-01-07,2022-01-05,2,15.00,0.00,15.00,4898.4000,979.6800000,NULL,0,J
9.1148371.1,9.1148371,9.5876,9.1,PO-E-2021-0428,9.1.9.5876,Fully Billed,2021-12-15,2022-01-07,2022-01-07,2022-01-05,1,30.00,0.00,30.00,16726.1520,1672.6152000,NULL,0,J
9.963531.55,9.963531,9.1652,9.1,PO-E-2021-0372,9.1.9.1652,Fully Billed,2021-11-03,2022-01-10,2022-02-09,2022-02-09,55,60.00,0.00,60.00,60755.2320,3037.7616000,NULL,0,J
9.926923.6,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-04-12,2022-04-13,6,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.49,9.963531,9.1525,9.1,PO-E-2021-0372,9.1.9.1525,Fully Billed,2021-11-03,2022-01-10,2022-03-04,2022-03-03,49,156.00,0.00,156.00,141709.1106,2725.1746000,NULL,0,J
9.926923.9,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-04-13,2022-04-13,9,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.16,9.963531,9.1531,9.1,PO-E-2021-0372,9.1.9.1531,Fully Billed,2021-11-03,2022-01-10,2022-03-31,2022-03-31,16,36.00,0.00,36.00,67678.5552,5639.8796000,NULL,0,J
9.926923.15,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-05-03,2022-04-28,15,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.63,9.963531,9.1537,9.1,PO-E-2021-0372,9.1.9.1537,Fully Billed,2021-11-03,2022-01-10,2022-02-25,2022-02-21,63,72.00,0.00,72.00,106248.5568,4427.0232000,NULL,0,J
9.926923.13,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-05-10,2022-05-10,13,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.88,9.963531,9.7076,9.1,PO-E-2021-0372,9.1.9.7076,Fully Billed,2021-11-03,2022-01-10,2022-03-30,2022-03-30,88,750.00,0.00,750.00,46158.0000,184.6320000,NULL,0,J
9.926923.5,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-04-06,2022-04-07,5,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.24,9.963531,9.7085,9.1,PO-E-2021-0372,9.1.9.7085,Fully Billed,2021-11-03,2022-01-10,2022-02-21,2022-02-28,24,24.00,0.00,24.00,46547.2344,5818.3886000,NULL,0,J
9.926923.2,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-03-24,2022-03-29,2,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.4,9.963531,9.1515,9.1,PO-E-2021-0372,9.1.9.1515,Fully Billed,2021-11-03,2022-01-10,2022-03-04,2022-03-03,4,36.00,0.00,36.00,31568.3040,2630.6920000,NULL,0,J
9.926923.1,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-03-24,2022-03-29,1,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.46,9.963531,9.1508,9.1,PO-E-2021-0372,9.1.9.1508,Fully Billed,2021-11-03,2022-01-10,2022-02-28,2022-02-28,46,108.00,0.00,108.00,89169.3432,2476.9262000,NULL,0,J
9.926923.4,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-04-05,2022-04-07,4,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.69,9.963531,9.1530,9.1,PO-E-2021-0372,9.1.9.1530,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-02-02,69,24.00,0.00,24.00,46887.1080,5860.9042000,NULL,0,J
9.926923.7,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-04-12,2022-04-13,7,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.57,9.963531,9.1526,9.1,PO-E-2021-0372,9.1.9.1526,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,57,48.00,0.00,48.00,49624.0576,3101.5036000,NULL,0,J
9.926923.10,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-04-13,2022-04-13,10,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.22,9.963531,9.4534,9.1,PO-E-2021-0372,9.1.9.4534,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,22,24.00,0.00,24.00,38328.5984,4791.0748000,NULL,0,J
9.926923.16,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-05-04,2022-05-04,16,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.61,9.963531,9.1519,9.1,PO-E-2021-0372,9.1.9.1519,Fully Billed,2021-11-03,2022-01-10,2022-03-31,2022-03-31,61,36.00,0.00,36.00,51117.4416,4259.7868000,NULL,0,J
9.926923.12,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-05-10,2022-05-10,12,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.44,9.963531,9.1513,9.1,PO-E-2021-0372,9.1.9.1513,Fully Billed,2021-11-03,2022-01-10,2022-03-02,2022-03-03,44,18.00,0.00,18.00,14194.6212,2365.7702000,NULL,0,J
9.963531.41,9.963531,9.1550,9.1,PO-E-2021-0372,9.1.9.1550,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,41,108.00,0.00,108.00,80432.4816,2234.2356000,NULL,0,J
9.963531.19,9.963531,9.1539,9.1,PO-E-2021-0372,9.1.9.1539,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,19,24.00,0.00,24.00,46423.6440,5802.9712000,NULL,0,J
9.963531.53,9.963531,9.1532,9.1,PO-E-2021-0372,9.1.9.1532,Fully Billed,2021-11-03,2022-01-10,2022-02-28,2022-02-28,53,108.00,0.00,108.00,133748.9280,3715.2480000,NULL,0,J
9.963531.26,9.963531,9.7675,9.1,PO-E-2021-0372,9.1.9.7675,Fully Billed,2021-11-03,2022-01-10,2022-04-11,2022-04-11,26,42.00,0.00,42.00,62867.1960,4490.5140000,NULL,0,J
9.963531.14,9.963531,9.1547,9.1,PO-E-2021-0372,9.1.9.1547,Fully Billed,2021-11-03,2022-01-10,2022-02-25,2022-02-21,14,24.00,0.00,24.00,33562.8320,4195.3540000,NULL,0,J
9.963531.65,9.963531,9.1534,9.1,PO-E-2021-0372,9.1.9.1534,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,65,72.00,0.00,72.00,121386.8736,5057.7864000,NULL,0,J
9.963531.122,9.963531,9.2078,9.1,PO-E-2021-0372,9.1.9.2078,Fully Billed,2021-11-03,2022-01-10,2022-04-19,2022-04-19,122,450.00,0.00,450.00,68313.8400,455.4256000,NULL,0,J
9.963531.3,9.963531,9.1508,9.1,PO-E-2021-0372,9.1.9.1508,Fully Billed,2021-11-03,2022-01-10,2022-05-02,2022-04-27,3,108.00,0.00,108.00,89169.3432,2476.9262000,NULL,0,J
9.963531.77,9.963531,9.11362,9.1,PO-E-2021-0372,9.1.9.11362,Fully Billed,2021-11-03,2022-01-10,2022-01-28,2022-01-27,77,60.00,0.00,60.00,33836.6400,1691.8320000,NULL,0,J
9.963531.68,9.963531,9.1531,9.1,PO-E-2021-0372,9.1.9.1531,Fully Billed,2021-11-03,2022-01-10,2022-03-03,2022-03-03,68,36.00,0.00,36.00,67678.5552,5639.8796000,NULL,0,J
9.963531.79,9.963531,9.2118,9.1,PO-E-2021-0372,9.1.9.2118,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,79,600.00,0.00,600.00,36926.4000,184.6320000,NULL,0,J
9.963531.9,9.963531,9.1652,9.1,PO-E-2021-0372,9.1.9.1652,Fully Billed,2021-11-03,2022-01-10,2022-04-19,2022-04-19,9,54.00,0.00,54.00,54679.7088,3037.7616000,NULL,0,J
9.963531.32,9.963531,9.1928,9.1,PO-E-2021-0372,9.1.9.1928,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,32,54.00,0.00,54.00,8545.8240,474.7680000,NULL,0,J
9.963531.17,9.963531,9.1530,9.1,PO-E-2021-0372,9.1.9.1530,Fully Billed,2021-11-03,2022-01-10,2022-02-25,2022-02-21,17,24.00,0.00,24.00,46887.1080,5860.9042000,NULL,0,J
9.963531.8,9.963531,9.1527,9.1,PO-E-2021-0372,9.1.9.1527,Fully Billed,2021-11-03,2022-01-10,2022-02-25,2022-02-21,8,18.00,0.00,18.00,15483.8424,2580.6404000,NULL,0,J
9.963531.59,9.963531,9.1392,9.1,PO-E-2021-0372,9.1.9.1392,Fully Billed,2021-11-03,2022-01-10,2022-02-09,2022-02-09,59,18.00,0.00,18.00,23100.1008,3850.0168000,NULL,0,J
9.963531.62,9.963531,9.1537,9.1,PO-E-2021-0372,9.1.9.1537,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,62,72.00,0.00,72.00,106248.5568,4427.0232000,NULL,0,J
9.963531.12,9.963531,9.1519,9.1,PO-E-2021-0372,9.1.9.1519,Fully Billed,2021-11-03,2022-01-10,2022-04-19,2022-04-19,12,36.00,0.00,36.00,51117.4416,4259.7868000,NULL,0,J
9.963531.179,9.963531,9.7093,9.1,PO-E-2021-0372,9.1.9.7093,Fully Billed,2021-11-03,2022-01-10,2022-08-24,2022-08-24,179,279.00,0.00,279.00,44480.4864,478.2848000,NULL,0,J
9.963531.20,9.963531,9.1882,9.1,PO-E-2021-0372,9.1.9.1882,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,20,24.00,0.00,24.00,41490.2016,5186.2752000,NULL,0,J
9.963531.28,9.963531,9.10862,9.1,PO-E-2021-0372,9.1.9.10862,Fully Billed,2021-11-03,2022-01-10,2022-06-05,2022-05-05,28,21.00,0.00,21.00,33319.4820,4759.9260000,NULL,0,J
9.963531.42,9.963531,9.1550,9.1,PO-E-2021-0372,9.1.9.1550,Fully Billed,2021-11-03,2022-01-10,2022-02-28,2022-02-28,42,108.00,0.00,108.00,80432.4816,2234.2356000,NULL,0,J
9.963531.25,9.963531,9.7325,9.1,PO-E-2021-0372,9.1.9.7325,Fully Billed,2021-11-03,2022-01-10,2022-04-11,2022-04-11,25,21.00,0.00,21.00,34895.4480,4985.0640000,NULL,0,J
9.926923.11,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-05-04,2022-05-04,11,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.56,9.963531,9.1652,9.1,PO-E-2021-0372,9.1.9.1652,Fully Billed,2021-11-03,2022-01-10,2022-03-16,2022-03-16,56,60.00,0.00,60.00,60755.2320,3037.7616000,NULL,0,J
9.926923.8,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-04-12,2022-04-13,8,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.67,9.963531,9.1531,9.1,PO-E-2021-0372,9.1.9.1531,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,67,36.00,0.00,36.00,67678.5552,5639.8796000,NULL,0,J
9.926923.3,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-03-31,2022-03-31,3,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.54,9.963531,9.1527,9.1,PO-E-2021-0372,9.1.9.1527,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,54,18.00,0.00,18.00,15483.8424,2580.6404000,NULL,0,J
9.926923.14,9.926923,9.11487,9.1,PO-E-2021-0356,9.1.9.11487,Fully Billed,2021-10-25,2022-01-10,2022-05-03,2022-04-28,14,1860.00,0.00,1860.00,283843.4400,457.8120000,NULL,0,J
9.963531.35,9.963531,9.11363,9.1,PO-E-2021-0372,9.1.9.11363,Fully Billed,2021-11-03,2022-01-10,2022-01-28,2022-01-27,35,30.00,0.00,30.00,16447.3200,1644.7320000,NULL,0,J
9.963531.15,9.963531,9.1534,9.1,PO-E-2021-0372,9.1.9.1534,Fully Billed,2021-11-03,2022-01-10,2022-03-31,2022-03-31,15,72.00,0.00,72.00,121386.8736,5057.7864000,NULL,0,J
9.963531.38,9.963531,9.7065,9.1,PO-E-2021-0372,9.1.9.7065,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,38,150.00,0.00,150.00,22771.2800,455.4256000,NULL,0,J
9.963531.7,9.963531,9.1532,9.1,PO-E-2021-0372,9.1.9.1532,Fully Billed,2021-11-03,2022-01-10,2022-03-25,2022-03-25,7,108.00,0.00,108.00,133748.9280,3715.2480000,NULL,0,J
9.963531.101,9.963531,9.2118,9.1,PO-E-2021-0372,9.1.9.2118,Fully Billed,2021-11-03,2022-01-10,2022-02-25,2022-02-21,101,600.00,0.00,600.00,36926.4000,184.6320000,NULL,0,J
9.963531.43,9.963531,9.1513,9.1,PO-E-2021-0372,9.1.9.1513,Fully Billed,2021-11-03,2022-01-10,2022-02-22,2022-01-25,43,18.00,0.00,18.00,14194.6212,2365.7702000,NULL,0,J
9.963531.18,9.963531,9.1538,9.1,PO-E-2021-0372,9.1.9.1538,Fully Billed,2021-11-03,2022-01-10,2022-03-16,2022-03-16,18,24.00,0.00,24.00,45141.3936,5642.6742000,NULL,0,J
9.963531.130,9.963531,9.7325,9.1,PO-E-2021-0372,9.1.9.7325,Fully Billed,2021-11-03,2022-01-10,2022-04-11,2022-04-11,130,21.00,0.00,21.00,34895.4480,4985.0640000,NULL,0,J
9.963531.1,9.963531,9.1550,9.1,PO-E-2021-0372,9.1.9.1550,Fully Billed,2021-11-03,2022-01-10,2022-03-25,2022-03-25,1,108.00,0.00,108.00,80432.4816,2234.2356000,NULL,0,J
9.963531.60,9.963531,9.1519,9.1,PO-E-2021-0372,9.1.9.1519,Fully Billed,2021-11-03,2022-01-10,2022-02-09,2022-02-09,60,36.00,0.00,36.00,51117.4416,4259.7868000,NULL,0,J
9.963531.47,9.963531,9.1515,9.1,PO-E-2021-0372,9.1.9.1515,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,47,36.00,0.00,36.00,31568.3040,2630.6920000,NULL,0,J
9.963531.5,9.963531,9.1525,9.1,PO-E-2021-0372,9.1.9.1525,Fully Billed,2021-11-03,2022-01-10,2022-03-25,2022-03-25,5,156.00,0.00,156.00,141709.1106,2725.1746000,NULL,0,J
9.963531.10,9.963531,9.1526,9.1,PO-E-2021-0372,9.1.9.1526,Fully Billed,2021-11-03,2022-01-10,2022-04-19,2022-04-19,10,45.00,0.00,45.00,46522.5540,3101.5036000,NULL,0,J
9.963531.64,9.963531,9.1547,9.1,PO-E-2021-0372,9.1.9.1547,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,64,24.00,0.00,24.00,33562.8320,4195.3540000,NULL,0,J
9.963531.66,9.963531,9.1534,9.1,PO-E-2021-0372,9.1.9.1534,Fully Billed,2021-11-03,2022-01-10,2022-02-25,2022-02-21,66,72.00,0.00,72.00,121386.8736,5057.7864000,NULL,0,J
9.963531.72,9.963531,9.4364,9.1,PO-E-2021-0372,9.1.9.4364,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,72,18.00,0.00,18.00,25287.9900,4214.6650000,NULL,0,J
9.963531.27,9.963531,9.7709,9.1,PO-E-2021-0372,9.1.9.7709,Fully Billed,2021-11-03,2022-01-10,2022-07-25,2022-07-25,27,21.00,0.00,21.00,25894.6380,3699.2340000,NULL,0,J
9.963531.13,9.963531,9.1537,9.1,PO-E-2021-0372,9.1.9.1537,Fully Billed,2021-11-03,2022-01-10,2022-04-25,2022-04-25,13,72.00,0.00,72.00,106248.5568,4427.0232000,NULL,0,J
9.963531.120,9.963531,9.7709,9.1,PO-E-2021-0372,9.1.9.7709,Fully Billed,2021-11-03,2022-01-10,2022-04-11,2022-04-11,120,21.00,0.00,21.00,25894.6380,3699.2340000,NULL,0,J
9.963531.71,9.963531,9.1538,9.1,PO-E-2021-0372,9.1.9.1538,Fully Billed,2021-11-03,2022-01-10,2022-02-25,2022-02-21,71,24.00,0.00,24.00,45141.3936,5642.6742000,NULL,0,J
9.963531.6,9.963531,9.1395,9.1,PO-E-2021-0372,9.1.9.1395,Fully Billed,2021-11-03,2022-01-10,2022-03-25,2022-03-25,6,96.00,0.00,96.00,103152.7680,3223.5240000,NULL,0,J
9.963531.34,9.963531,9.11362,9.1,PO-E-2021-0372,9.1.9.11362,Fully Billed,2021-11-03,2022-01-10,2022-01-27,2022-01-27,34,30.00,0.00,30.00,16918.3200,1691.8320000,NULL,0,J
9.963531.29,9.963531,9.11459,9.1,PO-E-2021-0372,9.1.9.11459,Fully Billed,2021-11-03,2022-01-10,2022-04-14,2022-04-14,29,15.00,0.00,15.00,72720.8300,14544.1660000,NULL,0,J
9.963531.45,9.963531,9.1508,9.1,PO-E-2021-0372,9.1.9.1508,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,45,108.00,0.00,108.00,89169.3432,2476.9262000,NULL,0,J
9.963531.11,9.963531,9.1392,9.1,PO-E-2021-0372,9.1.9.1392,Fully Billed,2021-11-03,2022-01-10,2022-02-25,2022-02-21,11,18.00,0.00,18.00,23100.1008,3850.0168000,NULL,0,J
9.963531.100,9.963531,9.10862,9.1,PO-E-2021-0372,9.1.9.10862,Fully Billed,2021-11-03,2022-01-10,2022-07-15,2022-07-11,100,21.00,0.00,21.00,33319.4820,4759.9260000,NULL,0,J
9.963531.48,9.963531,9.1525,9.1,PO-E-2021-0372,9.1.9.1525,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,48,156.00,0.00,156.00,141709.1106,2725.1746000,NULL,0,J
9.963531.51,9.963531,9.1395,9.1,PO-E-2021-0372,9.1.9.1395,Fully Billed,2021-11-03,2022-01-10,2022-03-04,2022-03-03,51,96.00,0.00,96.00,103152.7680,3223.5240000,NULL,0,J
9.963531.30,9.963531,9.11471,9.1,PO-E-2021-0372,9.1.9.11471,Fully Billed,2021-11-03,2022-01-10,2022-04-14,2022-04-14,30,15.00,0.00,15.00,52923.1300,10584.6260000,NULL,0,J
9.963531.52,9.963531,9.1532,9.1,PO-E-2021-0372,9.1.9.1532,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,52,108.00,0.00,108.00,133748.9280,3715.2480000,NULL,0,J
9.963531.58,9.963531,9.1526,9.1,PO-E-2021-0372,9.1.9.1526,Fully Billed,2021-11-03,2022-01-10,2022-03-03,2022-03-03,58,48.00,0.00,48.00,49624.0576,3101.5036000,NULL,0,J
9.963531.50,9.963531,9.1395,9.1,PO-E-2021-0372,9.1.9.1395,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-01-25,50,96.00,0.00,96.00,103152.7680,3223.5240000,NULL,0,J
9.963531.23,9.963531,9.6625,9.1,PO-E-2021-0372,9.1.9.6625,Fully Billed,2021-11-03,2022-01-10,2022-05-04,2022-05-04,23,42.00,0.00,42.00,95393.2000,6813.8000000,NULL,0,J
9.963531.70,9.963531,9.1538,9.1,PO-E-2021-0372,9.1.9.1538,Fully Billed,2021-11-03,2022-01-10,2022-01-24,2022-02-02,70,24.00,0.00,24.00,45141.3936,5642.6742000,NULL,0,J
9.963531.31,9.963531,9.11475,9.1,PO-E-2021-0372,9.1.9.11475,Fully Billed,2021-11-03,2022-01-10,2022-04-20,2022-04-20,31,15.00,0.00,15.00,49290.1500,9858.0300000,NULL,0,J
9.1049523.63,9.1049523,9.2137,9.1,PO-E-2021-0399,9.1.9.2137,Fully Billed,2021-11-23,2022-01-14,2022-03-11,2022-02-23,63,30.00,0.00,30.00,7510.8800,751.0880000,NULL,0,J
9.1049523.8,9.1049523,9.7049,9.1,PO-E-2021-0399,9.1.9.7049,Fully Billed,2021-11-23,2022-01-14,2022-01-14,2022-01-14,8,120.00,0.00,120.00,508661.1600,12716.5290000,NULL,0,J
9.1049523.4,9.1049523,9.1885,9.1,PO-E-2021-0399,9.1.9.1885,Fully Billed,2021-11-23,2022-01-14,2022-03-11,2022-03-11,4,9.00,0.00,9.00,18500.5032,6166.8344000,NULL,0,J
9.1049523.3,9.1049523,9.1871,9.1,PO-E-2021-0399,9.1.9.1871,Fully Billed,2021-11-23,2022-01-14,2022-01-14,2022-02-18,3,42.00,0.00,42.00,57323.8400,4094.5600000,NULL,0,J
9.1049523.2,9.1049523,9.1863,9.1,PO-E-2021-0399,9.1.9.1863,Fully Billed,2021-11-23,2022-01-14,2022-01-14,2022-01-14,2,84.00,0.00,84.00,128925.8880,4604.4960000,NULL,0,J
