guid,itemId,type,itemWatt,batteryCapacityWh,itemCategory,manufacturerID
19.05-000279,05-000279,NULL,0.00,2760,Storage,BB5B98F7
19.05-000280,05-000280,NULL,0.00,0,Storage,BB5B98F7
19.05-000278,05-000278,NULL,0.00,2560,Storage,BB5B98F7
19.04-600009,04-600009,NULL,0.00,0,Other,76224EB9
19.05-000399,05-000399,NULL,0.00,3550,Storage,AAB84CAD
19.15-600005,15-600005,NULL,0.00,0,Other,AAB84CAD
19.00-600101,00-600101,NULL,0.00,0,Other,AAB84CAD
19.00-600014,00-600014,NULL,0.00,0,Other,AAB84CAD
19.00-600094,00-600094,NULL,0.00,0,Other,AAB84CAD
19.16-600001,16-600001,NULL,0.00,0,Other,AAB84CAD
19.04-600010,04-600010,NULL,0.00,0,Other,AAB84CAD
19.05-600040,05-600040,NULL,0.00,0,Storage,AAB84CAD
19.00-000072,00-000072,NULL,0.00,0,Other,AAB84CAD
19.04-600038,04-600038,NULL,0.00,0,Other,AAB84CAD
19.02-000792,02-000792,NULL,12000.00,0,Inverters,AAB84CAD
19.02-000923,02-000923,NULL,50000.00,0,Inverters,AAB84CAD
19.02-600138,02-600138,NULL,36000.00,0,Inverters,B34182A9
19.02-600105,02-600105,NULL,20000.00,0,Inverters,B34182A9
19.02-600103,02-600103,NULL,8000.00,0,Inverters,B34182A9
19.02-600107,02-600107,NULL,60000.00,0,Inverters,B34182A9
19.02-600088,02-600088,NULL,2500.00,0,Inverters,12CE9BF8
19.02-600151,02-600151,NULL,10000.00,0,Inverters,12CE9BF8
19.02-600089,02-600089,NULL,3600.00,0,Inverters,12CE9BF8
19.02-600092,02-600092,NULL,8000.00,0,Inverters,12CE9BF8
19.02-600097,02-600097,NULL,40000.00,0,Inverters,12CE9BF8
19.02-600090,02-600090,NULL,5000.00,0,Inverters,12CE9BF8
19.02-600139,02-600139,NULL,100000.00,0,Inverters,12CE9BF8
19.02-600060,02-600060,NULL,20000.00,0,Inverters,A9638684
19.02-600016,02-600016,NULL,3600.00,0,Inverters,A9638684
19.02-600130,02-600130,NULL,3600.00,0,Inverters,A9638684
19.02-600033,02-600033,NULL,0.00,0,Inverters,A9638684
19.02-700051,02-700051,NULL,15000.00,0,Inverters,A9638684
19.02-600006,02-600006,NULL,1500.00,0,Inverters,A9638684
19.09-600010,09-600010,NULL,0.00,0,Other,A9638684
19.02-700019,02-700019,NULL,8000.00,0,Inverters,A9638684
19.02-700056,02-700056,NULL,36000.00,0,Inverters,A9638684
19.02-600027,02-600027,NULL,8000.00,0,Inverters,A9638684
19.09-600026,09-600026,NULL,0.00,0,Other,A9638684
19.02-600133,02-600133,NULL,50000.00,0,Inverters,A9638684
19.02-600034,02-600034,NULL,0.00,0,Inverters,A9638684
19.02-600030,02-600030,NULL,0.00,0,Inverters,A9638684
19.02-600065,02-600065,NULL,6000.00,0,Inverters,A9638684
19.02-600026,02-600026,NULL,6500.00,0,Inverters,A9638684
19.07-600027,07-600027,NULL,0.00,0,Charging Stations,A9638684
19.09-600006,09-600006,NULL,0.00,0,Other,A9638684
19.02-600178,02-600178,NULL,0.00,0,Storage,A9638684
19.02-700053,02-700053,NULL,20000.00,0,Inverters,A9638684
19.02-600045,02-600045,NULL,0.00,0,Inverters,A9638684
19.02-700035,02-700035,NULL,10000.00,0,Inverters,A9638684
19.09-600011,09-600011,NULL,0.00,0,Other,A9638684
19.02-700032,02-700032,NULL,5000.00,0,Inverters,A9638684
19.02-600054,02-600054,NULL,50000.00,0,Inverters,A9638684
19.02-600055,02-600055,NULL,3000.00,0,Inverters,A9638684
19.02-600110,02-600110,NULL,2000.00,0,Inverters,A9638684
19.02-600198,02-600198,NULL,10000.00,0,Inverters,A9638684
19.02-600084,02-600084,NULL,3000.00,0,Inverters,A9638684
19.02-600017,02-600017,NULL,5000.00,0,Inverters,A9638684
19.09-600009,09-600009,NULL,0.00,0,Other,A9638684
19.09-600036,09-600036,NULL,0.00,0,Other,A9638684
19.07-600026,07-600026,NULL,0.00,0,Charging Stations,A9638684
19.02-600122,02-600122,NULL,5000.00,0,Inverters,A9638684
19.09-600037,09-600037,NULL,0.00,0,Other,A9638684
19.02-600066,02-600066,NULL,4000.00,0,Inverters,A9638684
19.05-600056,05-600056,NULL,0.00,0,Storage,A9638684
19.09-600038,09-600038,NULL,0.00,0,Other,A9638684
19.02-600015,02-600015,NULL,60000.00,0,Inverters,A9638684
19.02-600150,02-600150,NULL,5000.00,0,Inverters,A9638684
19.02-600111,02-600111,NULL,0.00,0,Inverters,A9638684
19.02-600043,02-600043,NULL,0.00,0,Inverters,A9638684
19.02-600162,02-600162,NULL,0.00,0,Inverters,A9638684
19.02-600112,02-600112,NULL,5.00,0,Inverters,A9638684
19.02-600190,02-600190,NULL,10000.00,0,Inverters,A9638684
19.02-600124,02-600124,NULL,8000.00,0,Inverters,A9638684
19.02-600051,02-600051,NULL,36000.00,0,Inverters,A9638684
19.02-600078,02-600078,NULL,60000.00,0,Inverters,A9638684
19.02-600074,02-600074,NULL,3600.00,0,Inverters,A9638684
19.02-600049,02-600049,NULL,30000.00,0,Inverters,A9638684
19.02-600001,02-600001,NULL,50000.00,0,Inverters,A9638684
19.09-600001,09-600001,NULL,0.00,0,Other,A9638684
19.02-600080,02-600080,NULL,8000.00,0,Inverters,A9638684
19.02-600062,02-600062,NULL,5000.00,0,Inverters,A9638684
19.02-600019,02-600019,NULL,3600.00,0,Inverters,A9638684
19.07-600030,07-600030,NULL,0.00,0,Charging Stations,A9638684
19.02-600164,02-600164,NULL,0.00,0,Inverters,A9638684
19.02-600023,02-600023,NULL,5000.00,0,Inverters,A9638684
19.02-700054,02-700054,NULL,25000.00,0,Inverters,A9638684
19.02-600121,02-600121,NULL,4000.00,0,Inverters,A9638684
19.02-600041,02-600041,NULL,0.00,5400,Storage,A9638684
19.09-600012,09-600012,NULL,0.00,0,Other,A9638684
19.09-600013,09-600013,NULL,0.00,0,Other,A9638684
19.09-600018,09-600018,NULL,0.00,0,Other,A9638684
19.09-600035,09-600035,NULL,0.00,0,Other,A9638684
19.09-600003,09-600003,NULL,0.00,0,Other,A9638684
19.02-600070,02-600070,NULL,20000.00,0,Inverters,A9638684
19.09-600007,09-600007,NULL,0.00,0,Other,A9638684
19.02-600011,02-600011,NULL,6000.00,0,Inverters,A9638684
19.02-600068,02-600068,NULL,8000.00,0,Inverters,A9638684
19.09-600030,09-600030,NULL,0.00,0,Other,A9638684
19.02-600042,02-600042,NULL,0.00,0,Storage,A9638684
19.02-600022,02-600022,NULL,3600.00,0,Inverters,A9638684
19.09-600014,09-600014,NULL,0.00,0,Other,A9638684
19.02-700050,02-700050,NULL,12000.00,0,Inverters,A9638684
19.02-600008,02-600008,NULL,3600.00,0,Inverters,A9638684
19.02-600195,02-600195,NULL,10000.00,0,Inverters,A9638684
19.09-600017,09-600017,NULL,0.00,0,Other,A9638684
19.02-700033,02-700033,NULL,6500.00,0,Inverters,A9638684
19.09-600041,09-600041,NULL,0.00,0,Other,A9638684
19.02-600012,02-600012,NULL,25000.00,0,Inverters,A9638684
19.09-600042,09-600042,NULL,0.00,0,Other,A9638684
19.09-600040,09-600040,NULL,0.00,0,Other,A9638684
19.02-600037,02-600037,NULL,0.00,0,Inverters,A9638684
19.15-600003,15-600003,NULL,0.00,0,Other,AAB84CAD
19.02-700086,02-700086,NULL,8000.00,0,Inverters,A9638684
19.02-600058,02-600058,NULL,80000.00,0,Inverters,A9638684
19.02-600064,02-600064,NULL,2000.00,0,Inverters,A9638684
19.02-600117,02-600117,NULL,3600.00,0,Inverters,A9638684
19.02-700087,02-700087,NULL,10000.00,0,Inverters,A9638684
19.02-600076,02-600076,NULL,50000.00,0,Inverters,A9638684
19.02-600018,02-600018,NULL,3000.00,0,Inverters,A9638684
19.02-700055,02-700055,NULL,30000.00,0,Inverters,A9638684
19.02-700052,02-700052,NULL,17000.00,0,Inverters,A9638684
19.02-600087,02-600087,NULL,2500.00,0,Inverters,A9638684
19.09-600031,09-600031,NULL,0.00,0,Other,A9638684
19.09-600008,09-600008,NULL,0.00,0,Other,A9638684
19.09-600016,09-600016,NULL,0.00,0,Other,A9638684
19.02-600004,02-600004,NULL,1000.00,0,Inverters,A9638684
19.02-600113,02-600113,NULL,100000.00,0,Inverters,A9638684
19.07-600028,07-600028,NULL,0.00,0,Charging Stations,A9638684
19.09-600022,09-600022,NULL,0.00,0,Other,A9638684
19.02-600115,02-600115,NULL,120000.00,0,Inverters,A9638684
19.09-600019,09-600019,NULL,0.00,0,Other,A9638684
19.02-600125,02-600125,NULL,10000.00,0,Inverters,A9638684
19.02-600123,02-600123,NULL,6000.00,0,Inverters,A9638684
19.02-600031,02-600031,NULL,0.00,0,Inverters,A9638684
19.02-600020,02-600020,NULL,5000.00,0,Inverters,A9638684
19.02-600197,02-600197,NULL,0.00,0,Inverters,A9638684
19.02-600040,02-600040,NULL,0.00,3270,Storage,A9638684
19.02-600032,02-600032,NULL,0.00,0,Inverters,A9638684
19.02-600002,02-600002,NULL,0.00,0,Inverters,A9638684
19.02-600010,02-600010,NULL,5000.00,0,Inverters,A9638684
19.02-700034,02-700034,NULL,80000.00,0,Inverters,A9638684
19.02-600131,02-600131,NULL,5000.00,0,Inverters,A9638684
19.02-600035,02-600035,NULL,0.00,0,Inverters,A9638684
19.02-600071,02-600071,NULL,10000.00,0,Inverters,A9638684
19.02-600009,02-600009,NULL,4200.00,0,Inverters,A9638684
19.09-600004,09-600004,NULL,0.00,0,Other,A9638684
19.02-600072,02-600072,NULL,3600.00,0,Inverters,A9638684
19.02-600069,02-600069,NULL,25000.00,0,Inverters,A9638684
19.09-600027,09-600027,NULL,0.00,0,Other,A9638684
19.02-600003,02-600003,NULL,12000.00,0,Inverters,A9638684
19.09-600015,09-600015,NULL,0.00,0,Other,A9638684
19.08-700017,08-700017,NULL,0.00,0,Inverters,A9638684
19.02-600063,02-600063,NULL,60000.00,0,Inverters,A9638684
19.02-700020,02-700020,NULL,10000.00,0,Inverters,A9638684
19.02-600025,02-600025,NULL,5000.00,0,Inverters,A9638684
19.02-600196,02-600196,NULL,0.00,0,Inverters,A9638684
19.02-600029,02-600029,NULL,0.00,0,Inverters,A9638684
19.02-600067,02-600067,NULL,25000.00,0,Inverters,A9638684
19.02-600021,02-600021,NULL,5000.00,0,Inverters,A9638684
19.02-600024,02-600024,NULL,6000.00,0,Inverters,A9638684
19.02-600061,02-600061,NULL,2500.00,0,Inverters,A9638684
19.09-600005,09-600005,NULL,0.00,0,Other,A9638684
19.09-600025,09-600025,NULL,0.00,0,Other,A9638684
19.02-600059,02-600059,NULL,15000.00,0,Inverters,A9638684
19.02-600116,02-600116,NULL,3000.00,0,Inverters,A9638684
19.02-700084,02-700084,NULL,5000.00,0,Inverters,A9638684
19.02-600056,02-600056,NULL,2000.00,0,Inverters,A9638684
19.09-600029,09-600029,NULL,0.00,0,Other,A9638684
19.02-600199,02-600199,NULL,15000.00,0,Inverters,A9638684
19.02-600073,02-600073,NULL,29900.00,0,Inverters,A9638684
19.09-600028,09-600028,NULL,0.00,0,Other,A9638684
19.09-600043,09-600043,NULL,0.00,0,Other,A9638684
19.09-600024,09-600024,NULL,0.00,0,Other,A9638684
19.02-600079,02-600079,NULL,10000.00,0,Inverters,A9638684
19.09-600039,09-600039,NULL,0.00,0,Other,A9638684
19.01-600019,01-600019,NULL,0.00,0,Other,D2F36029
19.02-000649,02-000649,NULL,36000.00,0,Inverters,5E0AA74F
19.02-000525,02-000525,NULL,20000.00,0,Inverters,5E0AA74F
19.02-600160,02-600160,NULL,0.00,0,Inverters,5E0AA74F
19.02-000648,02-000648,NULL,30000.00,0,Inverters,5E0AA74F
19.05-000341,05-000341,NULL,0.00,5000,Storage,5E0AA74F
19.02-000524,02-000524,NULL,17000.00,0,Inverters,5E0AA74F
19.02-000523,02-000523,NULL,15000.00,0,Inverters,5E0AA74F
19.02-000522,02-000522,NULL,12000.00,0,Inverters,5E0AA74F
19.02-000801,02-000801,NULL,0.00,0,Inverter Accessories,5E0AA74F
19.02-000852,02-000852,NULL,40000.00,0,Inverters,5E0AA74F
19.02-000749,02-000749,NULL,0.00,0,Inverter Accessories,5E0AA74F
19.02-600161,02-600161,NULL,0.00,0,Inverters,5E0AA74F
19.01-000741,01-000741,NULL,410.00,0,Modules,085D39D5
19.01-600021,01-600021,NULL,485.00,0,Modules,085D39D5
19.01-600053,01-600053,NULL,500.00,0,Modules,D4942B98
19.01-600003,01-600003,NULL,0.00,0,Modules,D4942B98
19.01-600036,01-600036,NULL,460.00,0,Modules,D4942B98
19.01-000758,01-000758,NULL,460.00,0,Modules,D4942B98
19.01-600064,01-600064,NULL,475.00,0,Modules,A7A201AC
19.01-000911,01-000911,NULL,430.00,0,Modules,A7A201AC
19.04-600005,04-600005,NULL,0.00,0,Other,BE4A3626
19.04-600034,04-600034,NULL,0.00,0,Other,BE4A3626
19.01-600013,01-600013,NULL,0.00,0,Other,BE4A3626
19.04-600017,04-600017,NULL,0.00,0,Other,BE4A3626
19.01-600012,01-600012,NULL,0.00,0,Other,BE4A3626
19.04-000032,04-000032,NULL,0.00,0,Other,BE4A3626
19.01-600014,01-600014,NULL,0.00,0,Other,BE4A3626
19.04-600026,04-600026,NULL,0.00,0,Other,8E602E59
19.01-600051,01-600051,NULL,505.00,0,Modules,E70A01BB
19.01-000955,01-000955,NULL,440.00,0,Modules,E70A01BB
19.03-000722,03-000722,NULL,0.00,0,Racking,1D56D199
19.03-000409,03-000409,NULL,0.00,0,Racking,1D56D199
19.03-000463,03-000463,NULL,0.00,0,Racking,1D56D199
19.02-600163,02-600163,NULL,0.00,0,Inverters,A9638684
19.07-600025,07-600025,NULL,0.00,0,Charging Stations,A9638684
19.09-600033,09-600033,NULL,0.00,0,Other,A9638684
19.07-600031,07-600031,NULL,0.00,0,Charging Stations,A9638684
19.02-600128,02-600128,NULL,17000.00,0,Inverters,A9638684
19.02-600114,02-600114,NULL,110000.00,0,Inverters,A9638684
19.02-600081,02-600081,NULL,6500.00,0,Inverters,A9638684
19.07-600029,07-600029,NULL,0.00,0,Charging Stations,A9638684
19.02-600077,02-600077,NULL,60000.00,0,Inverters,A9638684
19.02-600028,02-600028,NULL,0.00,0,Inverters,A9638684
19.09-600021,09-600021,NULL,0.00,0,Other,A9638684
19.02-600013,02-600013,NULL,25000.00,0,Inverters,A9638684
19.01-600029,01-600029,NULL,0.00,0,Other,D2F36029
19.01-600028,01-600028,NULL,0.00,0,Other,D2F36029
19.01-600030,01-600030,NULL,0.00,0,Other,D2F36029
19.02-000867,02-000867,NULL,100000.00,0,Inverters,5E0AA74F
19.05-600055,05-600055,NULL,0.00,0,Storage,5E0AA74F
19.02-600086,02-600086,NULL,50000.00,0,Inverters,5E0AA74F
19.08-000441,08-000441,NULL,0.00,0,Inverter Accessories,5E0AA74F
19.08-000428,08-000428,NULL,0.00,0,Inverters,5E0AA74F
19.02-000650,02-000650,NULL,40000.00,0,Inverters,5E0AA74F
19.02-000504,02-000504,NULL,10000.00,0,Inverters,5E0AA74F
19.01-000924,01-000924,NULL,435.00,0,Modules,A7A201AC
19.01-600061,01-600061,NULL,475.00,0,Modules,A7A201AC
19.04-600035,04-600035,NULL,0.00,0,Other,BE4A3626
19.04-600006,04-600006,NULL,0.00,0,Other,BE4A3626
19.04-600032,04-600032,NULL,0.00,0,Other,BE4A3626
19.01-600054,01-600054,NULL,410.00,0,Modules,E70A01BB
19.01-000874,01-000874,NULL,385.00,0,Modules,1FAC9D9D
19.03-000396,03-000396,NULL,0.00,0,Racking,1D56D199
19.03-000161,03-000161,NULL,0.00,0,Racking,1D56D199
19.03-000290,03-000290,NULL,0.00,0,Racking,1D56D199
19.03-001491,03-001491,NULL,0.00,0,Racking,1D56D199
19.03-000576,03-000576,NULL,0.00,0,Racking,1D56D199
19.03-000135,03-000135,NULL,0.00,0,Racking,1D56D199
19.03-000281,03-000281,NULL,0.00,0,Racking,1D56D199
19.03-000873,03-000873,NULL,0.00,0,Racking,1D56D199
19.03-001530,03-001530,NULL,0.00,0,Racking,1D56D199
19.03-000257,03-000257,NULL,0.00,0,Racking,1D56D199
19.03-001632,03-001632,NULL,0.00,0,Racking,1D56D199
19.03-001522,03-001522,NULL,0.00,0,Racking,1D56D199
19.03-000311,03-000311,NULL,0.00,0,Racking,1D56D199
19.03-000549,03-000549,NULL,0.00,0,Racking,1D56D199
19.03-000841,03-000841,NULL,0.00,0,Racking,1D56D199
19.03-000266,03-000266,NULL,0.00,0,Racking,1D56D199
19.03-000011,03-000011,NULL,0.00,0,Racking,1D56D199
19.03-000627,03-000627,NULL,0.00,0,Racking,1D56D199
19.03-000184,03-000184,NULL,0.00,0,Racking,1D56D199
19.03-000260,03-000260,NULL,0.00,0,Racking,1D56D199
19.03-000648,03-000648,NULL,0.00,0,Racking,1D56D199
19.03-001338,03-001338,NULL,0.00,0,Racking,1D56D199
19.03-000605,03-000605,NULL,0.00,0,Racking,1D56D199
19.03-001465,03-001465,NULL,0.00,0,Racking,1D56D199
19.03-000383,03-000383,NULL,0.00,0,Racking,1D56D199
19.03-000504,03-000504,NULL,0.00,0,Racking,1D56D199
19.03-001247,03-001247,NULL,0.00,0,Racking,1D56D199
19.03-000329,03-000329,NULL,0.00,0,Racking,1D56D199
19.03-001339,03-001339,NULL,0.00,0,Racking,1D56D199
19.03-001681,03-001681,NULL,0.00,0,Racking,1D56D199
19.03-001185,03-001185,NULL,0.00,0,Racking,1D56D199
19.03-000633,03-000633,NULL,0.00,0,Racking,1D56D199
19.03-000499,03-000499,NULL,0.00,0,Racking,1D56D199
19.03-001346,03-001346,NULL,0.00,0,Racking,1D56D199
19.03-001443,03-001443,NULL,0.00,0,Racking,1D56D199
19.03-000303,03-000303,NULL,0.00,0,Racking,1D56D199
19.03-000300,03-000300,NULL,0.00,0,Racking,1D56D199
19.03-000131,03-000131,NULL,0.00,0,Racking,1D56D199
19.03-000691,03-000691,NULL,0.00,0,Racking,1D56D199
19.03-000012,03-000012,NULL,0.00,0,Racking,1D56D199
19.03-000535,03-000535,NULL,0.00,0,Racking,1D56D199
19.03-001380,03-001380,NULL,0.00,0,Racking,1D56D199
19.03-000136,03-000136,NULL,0.00,0,Racking,1D56D199
19.03-001539,03-001539,NULL,0.00,0,Racking,1D56D199
19.03-001578,03-001578,NULL,0.00,0,Racking,1D56D199
19.03-001345,03-001345,NULL,0.00,0,Racking,1D56D199
19.03-000574,03-000574,NULL,0.00,0,Racking,1D56D199
19.03-000203,03-000203,NULL,0.00,0,Racking,1D56D199
19.03-000989,03-000989,NULL,0.00,0,Racking,1D56D199
19.03-000256,03-000256,NULL,0.00,0,Racking,1D56D199
19.03-001374,03-001374,NULL,0.00,0,Racking,1D56D199
19.03-000459,03-000459,NULL,0.00,0,Racking,1D56D199
19.03-001679,03-001679,NULL,0.00,0,Racking,1D56D199
19.03-000924,03-000924,NULL,0.00,0,Racking,1D56D199
19.03-001542,03-001542,NULL,0.00,0,Racking,1D56D199
19.03-001379,03-001379,NULL,0.00,0,Racking,1D56D199
19.03-001544,03-001544,NULL,0.00,0,Racking,1D56D199
19.03-000259,03-000259,NULL,0.00,0,Racking,1D56D199
19.03-001281,03-001281,NULL,0.00,0,Racking,1D56D199
19.03-000343,03-000343,NULL,0.00,0,Racking,1D56D199
19.03-000258,03-000258,NULL,0.00,0,Racking,1D56D199
19.03-000233,03-000233,NULL,0.00,0,Racking,1D56D199
19.03-000966,03-000966,NULL,0.00,0,Racking,1D56D199
19.03-001722,03-001722,NULL,0.00,0,Racking,1D56D199
19.03-000929,03-000929,NULL,0.00,0,Racking,1D56D199
19.03-001111,03-001111,NULL,0.00,0,Racking,1D56D199
19.03-000324,03-000324,NULL,0.00,0,Racking,1D56D199
19.03-001569,03-001569,NULL,0.00,0,Racking,1D56D199
19.03-000175,03-000175,NULL,0.00,0,Racking,1D56D199
19.03-000028,03-000028,NULL,0.00,0,Racking,1D56D199
19.03-000602,03-000602,NULL,0.00,0,Racking,1D56D199
19.03-001417,03-001417,NULL,0.00,0,Racking,1D56D199
19.03-000087,03-000087,NULL,0.00,0,Racking,1D56D199
19.03-000309,03-000309,NULL,0.00,0,Racking,1D56D199
19.03-001490,03-001490,NULL,0.00,0,Racking,1D56D199
19.03-001621,03-001621,NULL,0.00,0,Racking,1D56D199
19.03-000283,03-000283,NULL,0.00,0,Racking,1D56D199
19.03-001493,03-001493,NULL,0.00,0,Racking,1D56D199
19.03-000053,03-000053,NULL,0.00,0,Racking,1D56D199
19.03-000581,03-000581,NULL,0.00,0,Racking,1D56D199
19.03-000226,03-000226,NULL,0.00,0,Racking,1D56D199
19.03-001533,03-001533,NULL,0.00,0,Racking,1D56D199
19.03-000337,03-000337,NULL,0.00,0,Racking,1D56D199
19.03-000282,03-000282,NULL,0.00,0,Racking,1D56D199
19.03-000932,03-000932,NULL,0.00,0,Racking,1D56D199
19.03-001409,03-001409,NULL,0.00,0,Racking,1D56D199
19.03-000138,03-000138,NULL,0.00,0,Racking,1D56D199
19.03-000104,03-000104,NULL,0.00,0,Racking,1D56D199
19.03-000828,03-000828,NULL,0.00,0,Racking,1D56D199
19.03-001149,03-001149,NULL,0.00,0,Racking,1D56D199
19.03-001649,03-001649,NULL,0.00,0,Racking,1D56D199
19.03-001370,03-001370,NULL,0.00,0,Racking,1D56D199
19.03-000631,03-000631,NULL,0.00,0,Racking,1D56D199
19.03-000943,03-000943,NULL,0.00,0,Racking,1D56D199
19.03-000338,03-000338,NULL,0.00,0,Racking,1D56D199
19.03-000370,03-000370,NULL,0.00,0,Racking,1D56D199
19.03-000693,03-000693,NULL,0.00,0,Racking,1D56D199
19.03-000254,03-000254,NULL,0.00,0,Racking,1D56D199
19.03-000099,03-000099,NULL,0.00,0,Racking,1D56D199
19.03-000243,03-000243,NULL,0.00,0,Racking,1D56D199
19.03-000223,03-000223,NULL,0.00,0,Racking,1D56D199
19.03-001439,03-001439,NULL,0.00,0,Racking,1D56D199
19.03-000362,03-000362,NULL,0.00,0,Racking,1D56D199
19.03-001591,03-001591,NULL,0.00,0,Racking,1D56D199
19.03-000880,03-000880,NULL,0.00,0,Racking,1D56D199
19.03-000980,03-000980,NULL,0.00,0,Racking,1D56D199
19.03-001680,03-001680,NULL,0.00,0,Racking,1D56D199
19.03-000536,03-000536,NULL,0.00,0,Racking,1D56D199
19.03-000216,03-000216,NULL,0.00,0,Racking,1D56D199
19.03-000210,03-000210,NULL,0.00,0,Racking,1D56D199
19.03-001243,03-001243,NULL,0.00,0,Racking,1D56D199
19.03-000052,03-000052,NULL,0.00,0,Racking,1D56D199
19.03-001367,03-001367,NULL,0.00,0,Racking,1D56D199
19.03-001514,03-001514,NULL,0.00,0,Racking,1D56D199
19.03-001108,03-001108,NULL,0.00,0,Racking,1D56D199
19.03-000016,03-000016,NULL,0.00,0,Racking,1D56D199
