guid,locationGuid,itemGuid,quantityAvailable,quantityBackOrdered,quantityCommitted,quantityInTransit,quantityOnHand,quantityOnOrder,averageCost,SubsidiaryID
9.299.9.14510,9.299,9.14510,5,0,2,0,7,4,5613.6606000,G
9.299.9.7741,9.299,9.7741,3,0,0,0,3,2,4084.9516000,G
9.13.9.7741,9.13,9.7741,8,0,0,0,8,0,4115.4881000,G
9.282.9.14508,9.282,9.14508,2,0,0,0,2,0,5483.2250000,G
9.261.9.14508,9.261,9.14508,0,1,0,0,0,1,5538.7716000,G
9.244.9.14508,9.244,9.14508,3,0,0,0,3,0,5324.9166562,G
9.261.9.12224,9.261,9.12224,62,0,0,0,62,0,221.3700000,G
9.250.9.12224,9.250,9.12224,2,0,0,0,2,0,246.8354000,G
9.13.9.12224,9.13,9.12224,20,0,0,0,20,0,221.3700000,G
9.261.9.14204,9.261,9.14204,130,0,0,0,130,0,3.7680000,G
9.13.9.14204,9.13,9.14204,183,0,0,0,183,0,3.7680000,G
9.261.9.14745,9.261,9.14745,10,0,0,0,10,0,3091.8638000,G
9.278.9.13595,9.278,9.13595,4,0,0,0,4,0,517.0716500,G
9.244.9.13595,9.244,9.13595,23,0,0,0,23,0,515.7736682,G
9.13.9.12418,9.13,9.12418,3,0,0,0,3,20,14.1614000,G
9.278.9.12418,9.278,9.12418,8,0,0,0,8,0,14.1300000,G
9.244.9.12569,9.244,9.12569,8,0,0,0,8,0,2692.4558000,G
9.267.9.12569,9.267,9.12569,0,0,1,0,1,0,2692.4558000,G
9.282.9.12675,9.282,9.12675,0,16,0,0,0,16,0.0000000,G
9.278.9.12675,9.278,9.12675,7,0,0,0,7,0,62.6116000,G
9.13.9.5747,9.13,9.5747,0,7,5,5,5,5,3394.5912000,G
9.280.9.5747,9.280,9.5747,3,0,0,0,3,0,4096.3498000,G
9.299.9.5747,9.299,9.5747,40,0,18,0,58,0,3021.7984994,G
9.244.9.5747,9.244,9.5747,1,0,0,0,1,0,2546.2260000,G
9.278.9.12674,9.278,9.12674,152,0,0,0,152,0,64.7782000,G
9.13.9.13043,9.13,9.13043,9,0,0,0,9,0,315.4897416,G
9.281.9.13043,9.281,9.13043,1,0,0,0,1,0,0.0000000,G
9.250.9.13043,9.250,9.13043,1,0,0,0,1,0,309.0388000,G
9.299.9.13043,9.299,9.13043,27,0,4,0,31,0,310.2796024,G
9.278.9.12532,9.278,9.12532,0,0,1,0,1,0,1345.1760000,G
9.261.9.12532,9.261,9.12532,3,0,1,0,4,0,1318.8000000,G
9.299.9.12532,9.299,9.12532,35,0,2,0,37,0,1362.2542088,G
9.244.9.12532,9.244,9.12532,1,0,1,0,2,0,1318.8000000,G
9.244.9.5471,9.244,9.5471,245,0,82,0,327,0,29.9797152,G
9.13.9.5471,9.13,9.5471,106,0,0,0,106,0,29.6122724,G
9.278.9.5471,9.278,9.5471,171,0,0,0,171,0,29.9870000,G
9.261.9.5471,9.261,9.5471,377,0,15,0,392,0,29.9870000,G
9.250.9.5471,9.250,9.5471,1,0,0,0,1,0,28.6054000,G
9.13.9.5505,9.13,9.5505,1275,0,0,0,1275,0,24.6979212,G
9.278.9.5505,9.278,9.5505,4536,0,0,0,4536,0,24.7632960,G
9.261.9.5505,9.261,9.5505,45,0,0,0,45,0,25.0886000,G
9.250.9.5505,9.250,9.5505,2,0,0,0,2,0,24.4763000,G
9.299.9.5505,9.299,9.5505,155,0,2,0,157,0,25.1254008,G
9.278.9.12731,9.278,9.12731,38,0,0,0,38,0,157.0000000,G
9.278.9.5492,9.278,9.5492,67,0,0,0,67,0,48.4389588,G
9.261.9.5492,9.261,9.5492,0,0,0,0,0,100,48.4188000,G
9.299.9.5492,9.299,9.5492,112,0,3,0,115,0,47.5521600,G
9.244.9.5492,9.244,9.5492,35,0,7,0,42,0,48.4188000,G
9.244.9.8873,9.244,9.8873,27,0,0,0,27,0,4945.5000000,G
9.290.9.8873,9.290,9.8873,0,1,8,0,8,0,4944.0516750,G
9.261.9.11843,9.261,9.11843,2,0,1,0,3,4,2355.0000000,G
9.244.9.11843,9.244,9.11843,4,0,1,0,5,4,2386.4000000,G
9.244.9.13360,9.244,9.13360,3,0,0,0,3,20,9404.3000000,G
9.290.9.13360,9.290,9.13360,36,0,9,0,45,0,9404.3000000,G
9.299.9.14360,9.299,9.14360,0,0,0,0,0,6,1143.7575600,G
9.278.9.14360,9.278,9.14360,5,0,0,0,5,0,1193.2000000,G
9.278.9.13396,9.278,9.13396,9,0,0,0,9,0,4286.1000000,G
9.299.9.13396,9.299,9.13396,14,0,0,0,14,0,4629.5689000,G
9.282.9.12962,9.282,9.12962,108,0,0,0,108,0,9532.5939944,G
9.261.9.11968,9.261,9.11968,13,0,0,0,13,24,301.2202000,G
9.244.9.11519,9.244,9.11519,3,0,0,0,3,0,1212.3540000,G
9.261.9.11519,9.261,9.11519,0,8,0,0,0,8,1056.9240000,G
9.13.9.11519,9.13,9.11519,5,0,0,0,5,0,1041.6950000,G
9.278.9.2062,9.278,9.2062,249,0,0,0,249,0,17.5840000,G
9.13.9.1930,9.13,9.1930,346,0,0,0,346,0,25.1294514,G
9.282.9.3656,9.282,9.3656,5,0,0,0,5,0,0.0314000,G
9.261.9.3656,9.261,9.3656,42,0,29,0,71,5,25.1421056,G
9.261.9.6624,9.261,9.6624,300,0,0,0,300,0,5.8929322,G
9.13.9.13017,9.13,9.13017,18,0,0,0,18,0,380.7878000,G
9.278.9.10860,9.278,9.10860,6,0,0,0,6,0,4214.9162000,G
9.299.9.10860,9.299,9.10860,6,0,0,0,6,0,4223.7448438,G
9.250.9.14063,9.250,9.14063,1,0,0,0,1,0,3308.2726000,G
9.244.9.14063,9.244,9.14063,2,0,2,0,4,0,3308.2726000,G
9.13.9.14063,9.13,9.14063,4,3,0,0,4,3,3481.6320000,G
9.261.9.16693,9.261,9.16693,0,0,0,0,0,2,0.0000000,G
9.244.9.16691,9.244,9.16691,24,0,3,0,27,0,1221.4600000,G
9.244.9.11401,9.244,9.11401,2,0,0,0,2,0,3756.0209000,G
9.290.9.11401,9.290,9.11401,5,0,0,0,5,0,3136.8600000,G
9.244.9.16699,9.244,9.16699,7,0,0,0,7,0,122.4600000,G
9.300.9.16699,9.300,9.16699,1,0,0,0,1,0,0.0000000,G
9.299.9.7325,9.299,9.7325,21,0,0,0,21,7,4744.0630340,G
9.244.9.7325,9.244,9.7325,2,0,0,0,2,0,4488.1119000,G
9.282.9.7325,9.282,9.7325,4,0,3,0,7,0,4903.4240000,G
9.299.9.6625,9.299,9.6625,8,0,0,0,8,7,6487.0359000,G
9.278.9.6218,9.278,9.6218,4,0,0,0,4,0,6552.2380000,G
9.261.9.6218,9.261,9.6218,3,0,0,0,3,0,6577.8290000,G
9.299.9.6218,9.299,9.6218,3,0,0,0,3,0,6564.9654562,G
9.13.9.6218,9.13,9.6218,0,0,1,0,1,0,6552.2380000,G
9.13.9.7675,9.13,9.7675,0,0,4,0,4,0,3726.9288000,G
9.244.9.16694,9.244,9.16694,3,0,0,4,3,0,6590.8600000,G
9.244.9.16692,9.244,9.16692,6,0,5,10,11,0,1943.6600000,G
9.244.9.16697,9.244,9.16697,4,0,0,6,4,0,624.8600000,G
9.299.9.16701,9.299,9.16701,0,5,0,0,0,20,216.7856000,G
9.244.9.16701,9.244,9.16701,11,0,1,10,12,0,248.0600000,G
9.299.9.16700,9.299,9.16700,0,1,0,0,0,20,249.1119000,G
9.13.9.14509,9.13,9.14509,0,2,0,0,0,2,5055.0860000,G
9.302.9.14509,9.302,9.14509,1,0,0,0,1,0,5258.5266000,G
9.282.9.14509,9.282,9.14509,2,0,0,0,2,0,5521.1091000,G
9.261.9.14509,9.261,9.14509,0,0,1,0,1,0,5042.9028000,G
9.299.9.14509,9.299,9.14509,16,0,0,0,16,22,5258.5305250,G
9.13.9.10861,9.13,9.10861,11,0,0,0,11,0,4541.6103722,G
9.261.9.10862,9.261,9.10862,0,0,1,0,1,0,4621.3892000,G
9.299.9.10862,9.299,9.10862,5,0,0,0,5,0,4572.0974800,G
9.261.9.12220,9.261,9.12220,30,0,0,0,30,0,84.7800000,G
9.250.9.12220,9.250,9.12220,1,0,0,0,1,0,87.5118000,G
9.13.9.12220,9.13,9.12220,24,0,0,0,24,0,78.5000000,G
9.13.9.12203,9.13,9.12203,7,0,0,0,7,0,161.7100000,G
9.261.9.12221,9.261,9.12221,2,0,0,0,2,0,86.4756000,G
9.13.9.12363,9.13,9.12363,2,0,1,0,3,5,690.3708562,G
9.299.9.6175,9.299,9.6175,89,0,4,0,93,0,804.7590466,G
9.13.9.6175,9.13,9.6175,1,0,3,0,4,0,897.3178000,G
9.282.9.6175,9.282,9.6175,51,0,0,0,51,0,978.1253860,G
9.282.9.12617,9.282,9.12617,69,0,0,0,69,0,334.6830544,G
9.278.9.12617,9.278,9.12617,202,0,0,0,202,0,315.1590054,G
9.299.9.12617,9.299,9.12617,131,0,3,0,134,0,288.6794168,G
9.244.9.12549,9.244,9.12549,4,0,0,0,4,0,12075.1212000,G
9.13.9.9556,9.13,9.9556,4,0,0,0,4,0,78.0918000,G
9.278.9.9556,9.278,9.9556,115,0,0,0,115,0,78.0604000,G
9.245.9.6453,9.245,9.6453,8,0,0,0,8,0,2988.2124000,G
9.13.9.6453,9.13,9.6453,0,0,4,0,4,0,2966.3266000,G
9.261.9.6453,9.261,9.6453,2,0,0,0,2,0,2988.2124000,G
9.278.9.5466,9.278,9.5466,96,0,5,0,101,0,345.0860000,G
9.261.9.5466,9.261,9.5466,144,0,0,0,144,0,344.3350062,G
9.299.9.5476,9.299,9.5476,49,0,2,0,51,150,25.0805930,G
9.278.9.5476,9.278,9.5476,4030,0,0,0,4030,0,24.4190578,G
9.261.9.5476,9.261,9.5476,115,0,0,0,115,0,25.0886000,G
9.250.9.5476,9.250,9.5476,3,0,0,0,3,0,24.7641438,G
9.13.9.5524,9.13,9.5524,514,0,18,0,532,0,67.3983416,G
9.261.9.13017,9.261,9.13017,0,0,0,0,0,30,366.2496000,G
9.281.9.13017,9.281,9.13017,1,0,0,0,1,0,3.1400000,G
9.278.9.13017,9.278,9.13017,577,0,0,0,577,0,382.0208780,G
9.290.9.13017,9.290,9.13017,1,0,0,0,1,0,366.2496000,G
9.299.9.13017,9.299,9.13017,3,0,5,0,8,1,353.7838000,G
9.13.9.8870,9.13,9.8870,0,3329,71,0,71,3370,9.8759594,G
9.13.9.8277,9.13,9.8277,608,0,0,0,608,0,9.7972082,G
9.278.9.8466,9.278,9.8466,76,0,0,0,76,0,812.1924000,G
9.299.9.8466,9.299,9.8466,4,0,1,0,5,0,408.2000000,G
9.300.9.11215,9.300,9.11215,3,0,4,0,7,0,0.0000000,G
9.254.9.11215,9.254,9.11215,1,0,0,0,1,0,0.0000000,G
9.281.9.11217,9.281,9.11217,5,0,0,0,5,0,0.0000000,G
9.282.9.6776,9.282,9.6776,23,0,4,0,27,48,1849.3041618,G
9.261.9.6776,9.261,9.6776,24,0,2,0,26,0,2207.4200000,G
9.299.9.6776,9.299,9.6776,115,0,40,0,155,144,1916.6430318,G
9.282.9.12511,9.282,9.12511,10,0,6,0,16,16,2961.0200000,G
9.278.9.12511,9.278,9.12511,0,2,0,0,0,136,2828.1666000,G
9.261.9.12511,9.261,9.12511,20,0,4,0,24,0,2961.0200000,G
9.246.9.12511,9.246,9.12511,1,0,0,0,1,0,1825.4076000,G
9.299.9.12511,9.299,9.12511,22,0,8,0,30,88,2460.3386162,G
9.244.9.12511,9.244,9.12511,11,0,1,0,12,0,2961.0200000,G
9.299.9.16822,9.299,9.16822,17,0,0,0,17,12,5689.6800000,G
9.244.9.16822,9.244,9.16822,4,0,0,0,4,0,5689.6800000,G
9.13.9.16822,9.13,9.16822,27,0,5,0,32,0,5689.6800000,G
9.13.9.8793,9.13,9.8793,120,0,0,0,120,0,49.4864000,G
9.278.9.8793,9.278,9.8793,313,0,0,0,313,0,50.6966502,G
9.265.9.8793,9.265,9.8793,1,0,0,0,1,0,50.8994000,G
9.261.9.8793,9.261,9.8793,413,0,54,0,467,0,50.8053884,G
9.246.9.8793,9.246,9.8793,40,0,0,0,40,0,14.9778000,G
9.299.9.13042,9.299,9.13042,6,0,3,0,9,0,314.1709416,G
9.278.9.14678,9.278,9.14678,783,0,9,0,792,756,326.5600000,G
9.261.9.14678,9.261,9.14678,6,0,0,0,6,0,228.5920000,G
9.281.9.14678,9.281,9.14678,3,0,0,0,3,0,3.1400000,G
9.250.9.14678,9.250,9.14678,7,0,0,0,7,0,326.5600000,G
9.300.9.14678,9.300,9.14678,1,0,0,0,1,0,0.0000000,G
9.244.9.14678,9.244,9.14678,2,0,0,0,2,756,327.0624000,G
9.261.9.12962,9.261,9.12962,0,0,0,0,0,84,6751.0000000,G
9.246.9.12962,9.246,9.12962,2,0,0,0,2,0,4725.7000000,G
9.244.9.12962,9.244,9.12962,0,0,0,0,0,44,8258.2000000,G
9.266.9.17053,9.266,9.17053,1,0,0,0,1,0,12874.0000000,G
9.265.9.17053,9.265,9.17053,1,0,0,0,1,0,12874.0000000,G
9.250.9.12206,9.250,9.12206,1,0,0,0,1,0,120.7958000,G
9.13.9.12206,9.13,9.12206,16,0,0,0,16,0,108.3300000,G
9.278.9.12206,9.278,9.12206,0,0,1,0,1,0,108.5498000,G
9.13.9.12219,9.13,9.12219,22,0,0,0,22,0,78.5000000,G
9.278.9.12219,9.278,9.12219,0,0,2,0,2,0,81.8598000,G
9.261.9.12219,9.261,9.12219,30,0,0,0,30,0,84.7800000,G
9.244.9.14642,9.244,9.14642,8,0,0,0,8,2,221.3386000,G
9.282.9.7286,9.282,9.7286,631,0,161,0,792,1080,4841.7607114,G
9.299.9.14709,9.299,9.14709,1937,0,36,0,1973,0,219.8000000,G
9.261.9.14709,9.261,9.14709,0,0,100,0,100,0,112.0980000,G
9.244.9.14709,9.244,9.14709,672,0,951,0,1623,0,153.8600000,G
9.13.9.14709,9.13,9.14709,144,0,0,0,144,0,218.8580000,G
9.282.9.14709,9.282,9.14709,14860,0,553,0,15413,0,219.7989638,G
9.244.9.14376,9.244,9.14376,0,0,5,0,5,0,5196.7000000,G
9.282.9.14376,9.282,9.14376,1,0,0,0,1,0,5284.6200000,G
9.278.9.14376,9.278,9.14376,0,0,1,0,1,0,5279.5332000,G
9.261.9.14376,9.261,9.14376,0,1,1,0,1,1,5196.7000000,G
9.278.9.13666,9.278,9.13666,0,0,0,0,0,9,6571.6903000,G
9.261.9.13666,9.261,9.13666,38,0,6,0,44,0,6553.1800000,G
9.281.9.13666,9.281,9.13666,1,0,0,0,1,0,3.1400000,G
9.299.9.13666,9.299,9.13666,6,0,5,0,11,21,6553.1800000,G
9.244.9.13666,9.244,9.13666,21,0,16,0,37,0,6553.1800000,G
9.13.9.13666,9.13,9.13666,0,0,0,0,0,6,6580.9690000,G
9.278.9.13713,9.278,9.13713,54,0,2,0,56,0,415.1080000,G
9.261.9.13713,9.261,9.13713,64,0,5,0,69,0,452.1600000,G
9.281.9.13713,9.281,9.13713,2,0,0,0,2,0,0.0000000,G
9.300.9.13713,9.300,9.13713,1,0,0,0,1,0,0.0000000,G
9.299.9.13713,9.299,9.13713,0,12,2,0,2,144,452.1600000,G
9.244.9.13713,9.244,9.13713,61,0,0,0,61,0,452.1600000,G
9.13.9.13713,9.13,9.13713,43,0,5,0,48,0,415.1080000,G
9.282.9.14375,9.282,9.14375,14,0,1,0,15,0,5030.2800000,G
9.278.9.14375,9.278,9.14375,1,0,0,0,1,0,5030.2800000,G
9.266.9.14375,9.266,9.14375,1,0,0,0,1,0,5030.2800000,G
9.261.9.14375,9.261,9.14375,25,0,4,0,29,0,4336.4482672,G
9.299.9.14375,9.299,9.14375,47,0,3,0,50,72,5030.2800000,G
9.244.9.14375,9.244,9.14375,14,0,4,0,18,0,5030.2800000,G
9.244.9.11461,9.244,9.11461,7,0,1,0,8,10,1566.8600000,G
9.13.9.11461,9.13,9.11461,0,0,2,0,2,0,1598.2600000,G
9.282.9.11461,9.282,9.11461,0,0,2,0,2,0,1684.1861000,G
9.299.9.11521,9.299,9.11521,5,0,3,0,8,0,0.0000000,G
9.254.9.11521,9.254,9.11521,2,0,0,0,2,0,0.0000000,G
9.244.9.11521,9.244,9.11521,17,0,0,0,17,0,51.0730106,G
9.13.9.11521,9.13,9.11521,7,0,0,0,7,0,3.1400000,G
9.282.9.11521,9.282,9.11521,182,0,0,0,182,0,0.0282914,G
9.278.9.11521,9.278,9.11521,20,0,0,0,20,0,3.1400000,G
9.282.9.5943,9.282,9.5943,0,17,70,0,70,60,1144.5300000,G
9.299.9.12822,9.299,9.12822,637,0,53,0,690,720,106.7600000,G
9.282.9.16822,9.282,9.16822,0,4,2,0,2,12,5689.6800000,G
9.278.9.16822,9.278,9.16822,24,0,0,0,24,12,5689.6800000,G
9.277.9.7286,9.277,9.7286,360,0,0,0,360,360,4970.6200000,G
9.280.9.7286,9.280,9.7286,1,0,0,0,1,0,4922.0128000,G
9.267.9.7286,9.267,9.7286,0,0,1,0,1,0,0.0000000,G
9.261.9.7286,9.261,9.7286,157,0,8,0,165,0,4970.6200000,G
9.250.9.7286,9.250,9.7286,1,0,0,0,1,0,8624.9520000,G
9.299.9.7286,9.299,9.7286,181,0,46,0,227,132,4976.2644012,G
9.244.9.7286,9.244,9.7286,24,0,1,0,25,0,4970.6200000,G
9.14.9.7286,9.14,9.7286,1,0,0,0,1,0,4936.9906000,G
9.13.9.7286,9.13,9.7286,0,165,0,0,0,24,4904.9940000,G
9.278.9.5943,9.278,9.5943,0,9,43,0,43,48,1661.0600000,G
9.261.9.5943,9.261,9.5943,148,0,39,0,187,0,1661.0600000,G
9.281.9.5943,9.281,9.5943,2,0,0,0,2,0,3.1400000,G
9.299.9.5943,9.299,9.5943,141,0,2,0,143,72,1506.4848336,G
9.244.9.5943,9.244,9.5943,32,0,5,0,37,0,1661.0600000,G
9.13.9.11520,9.13,9.11520,99,0,0,0,99,0,3.1400000,G
9.278.9.11520,9.278,9.11520,244,0,0,0,244,0,3.1400000,G
9.261.9.11520,9.261,9.11520,25,0,0,0,25,0,0.0000000,G
9.278.9.11232,9.278,9.11232,11,0,0,0,11,0,3.1400000,G
9.254.9.11232,9.254,9.11232,6,0,0,0,6,0,0.0000000,G
9.244.9.11232,9.244,9.11232,21,0,0,0,21,0,137.6456366,G
9.13.9.11232,9.13,9.11232,24,0,0,0,24,0,3.1400000,G
9.244.9.14374,9.244,9.14374,3,0,1,0,4,0,3012.8300000,G
9.282.9.14374,9.282,9.14374,23,0,0,0,23,0,4838.7400000,G
9.261.9.14374,9.261,9.14374,5,0,0,0,5,0,3012.8300000,G
9.13.9.11220,9.13,9.11220,32,0,0,0,32,0,6.2800000,G
9.282.9.11220,9.282,9.11220,115,0,0,0,115,0,0.0245862,G
9.278.9.11220,9.278,9.11220,1,0,0,0,1,1,103.6200000,G
9.261.9.11220,9.261,9.11220,0,2,0,0,0,2,105.6924000,G
9.278.9.5524,9.278,9.5524,216,0,23,0,239,960,67.1960000,G
9.265.9.5524,9.265,9.5524,6,0,0,0,6,0,65.5946000,G
9.261.9.5524,9.261,9.5524,0,3,102,0,102,640,66.9134000,G
9.299.9.5524,9.299,9.5524,246,0,6,0,252,0,66.2070256,G
9.246.9.5524,9.246,9.5524,67,0,0,0,67,0,19.7192000,G
9.300.9.14679,9.300,9.14679,2,0,0,0,2,0,0.0000000,G
9.244.9.14679,9.244,9.14679,0,7,442,0,442,1512,361.1000000,G
9.299.9.14679,9.299,9.14679,4,0,211,0,215,756,362.0446376,G
9.261.9.14679,9.261,9.14679,330,0,17,0,347,756,360.8918808,G
9.13.9.14679,9.13,9.14679,955,0,87,0,1042,0,361.5954292,G
9.278.9.14679,9.278,9.14679,742,0,0,0,742,756,361.1000000,G
9.261.9.14232,9.261,9.14232,4,0,0,0,4,0,9090.3000000,G
9.261.9.14201,9.261,9.14201,8,0,0,0,8,0,5636.3000000,G
9.244.9.14772,9.244,9.14772,5,0,0,0,5,0,2935.9000000,G
9.244.9.11842,9.244,9.11842,12,0,1,0,13,0,3595.3000000,G
9.261.9.11842,9.261,9.11842,0,0,1,0,1,0,3595.3000000,G
9.290.9.11842,9.290,9.11842,0,0,2,0,2,0,3595.3000000,G
9.299.9.13828,9.299,9.13828,11,0,3,0,14,0,1675.8112804,G
9.13.9.13828,9.13,9.13828,2,0,0,0,2,0,1693.3078000,G
9.244.9.13785,9.244,9.13785,8,0,0,0,8,0,3768.0000000,G
9.290.9.13785,9.290,9.13785,2,0,1,0,3,0,3768.0000000,G
9.261.9.13785,9.261,9.13785,7,0,0,0,7,0,3768.0000000,G
9.13.9.13395,9.13,9.13395,6,0,0,0,6,0,4132.2400000,G
9.278.9.13395,9.278,9.13395,37,0,0,0,37,0,4132.2400000,G
9.261.9.8843,9.261,9.8843,14,0,1,0,15,0,751.0880000,G
9.244.9.8843,9.244,9.8843,5,0,0,0,5,0,751.0880000,G
9.299.9.8843,9.299,9.8843,5,0,4,0,9,25,750.4600000,G
9.278.9.10872,9.278,9.10872,84,0,10,0,94,0,1155.3630000,G
9.278.9.1906,9.278,9.1906,254,0,0,0,254,0,297.4208000,G
9.13.9.2054,9.13,9.2054,1336,0,0,0,1336,0,0.4396000,G
9.299.9.8469,9.299,9.8469,0,4,0,0,0,24,1096.1426000,G
9.261.9.8469,9.261,9.8469,0,40,145,0,145,648,1021.6200066,G
9.244.9.8469,9.244,9.8469,15,0,55,0,70,168,1021.6873596,G
9.13.9.8469,9.13,9.8469,23,0,0,0,23,0,1105.9585226,G
9.282.9.8469,9.282,9.8469,0,1,0,0,0,0,1212.9506000,G
9.299.9.8472,9.299,9.8472,11,0,4,0,15,0,1096.1572638,G
9.261.9.8472,9.261,9.8472,41,0,75,0,116,288,1022.5856508,G
9.244.9.8472,9.244,9.8472,0,1,31,0,31,84,1021.9393446,G
9.13.9.8472,9.13,9.8472,7,0,0,0,7,0,1036.2000000,G
9.282.9.8472,9.282,9.8472,0,1,0,0,0,0,1212.9506000,G
9.244.9.15277,9.244,9.15277,25,0,6,0,31,20,29.3032964,G
9.261.9.8310,9.261,9.8310,41,0,0,0,41,0,212.2502154,G
9.282.9.7675,9.282,9.7675,4,0,0,0,4,0,4421.3241000,G
9.261.9.7675,9.261,9.7675,0,0,2,0,2,1,4359.0422000,G
9.261.9.1652,9.261,9.1652,5,0,0,0,5,0,3475.4148000,G
9.278.9.1515,9.278,9.1515,12,0,0,0,12,0,2982.6860000,G
9.302.9.10862,9.302,9.10862,1,0,0,0,1,0,4737.3808000,G
9.281.9.5466,9.281,9.5466,2,0,0,0,2,0,3.1400000,G
9.300.9.5466,9.300,9.5466,1,0,0,0,1,0,0.0000000,G
9.299.9.5466,9.299,9.5466,34,0,1,0,35,0,336.7892094,G
9.244.9.5466,9.244,9.5466,8,0,1,0,9,0,344.8976000,G
9.13.9.14680,9.13,9.14680,199,0,0,0,199,0,381.7185902,G
9.278.9.14680,9.278,9.14680,134,0,14,0,148,0,379.7830000,G
9.265.9.14680,9.265,9.14680,3,0,0,0,3,0,379.9400000,G
9.261.9.14680,9.261,9.14680,980,0,128,0,1108,0,379.3215770,G
9.299.9.14680,9.299,9.14680,1175,0,29,0,1204,0,380.4814302,G
9.13.9.5476,9.13,9.5476,1012,0,0,0,1012,0,24.5773452,G
9.261.9.12227,9.261,9.12227,2,0,0,0,2,0,86.4756000,G
9.244.9.14640,9.244,9.14640,0,0,0,0,0,22,176.4052000,G
9.244.9.14641,9.244,9.14641,13,0,0,0,13,0,221.3386000,G
9.302.9.13665,9.302,9.13665,1,0,0,0,1,0,6911.1400000,G
9.282.9.13665,9.282,9.13665,3,0,2,0,5,0,5095.4978000,G
9.278.9.13665,9.278,9.13665,12,0,2,0,14,0,6850.4124000,G
